,cartodb_id,the_geom,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged
11496,10890,0101000020E6100000A930B610E47C52C0EF53556820564440,13379,,NYCACS: 330802,Friends Of Crown Heights 9,813,Sterling Place,813 Sterling Place,Brooklyn,Brooklyn,3,11216.0,40.672864,-73.95142,997725.6841,184422.761,3031515.0,3012400056.0,308.0,36,31701,BK61,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 165,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Friends of Crown Heights Educational Ctrs, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11497,10891,0101000020E6100000C765DCD4407B52C0A988D349B6564440,45550,,NYCACS: 310905,Bcs Atlantic Av Early Lrn DCC1,1825,Atlantic Avenue,1825 Atlantic Avenue,Brooklyn,Brooklyn,3,11233.0,40.677438,-73.925832,1004822.2589,186094.0094,3397596.0,3017107501.0,303.0,36,29900,BK61,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 12,,NYCACS: Seats in Contract,,,,,Non-public,Brooklyn Bureau of Community Service,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11498,10892,0101000020E61000007521567F847C52C09221C7D633564440,6920,,NYCACS: 316801,Park Place Day Care Ctr,963,Park Place,963 Park Place,Brooklyn,Brooklyn,3,11213.0,40.673457,-73.945587,999343.7372,184639.7784,3031302.0,3012350058.0,308.0,36,34100,BK61,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 80,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Friends of Crown Heights Educational Ctrs, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11499,10893,0101000020E6100000E770ADF6B07A52C0CA4FAA7D3A584440,41362,,NYCACS: 350104,Salvation Army Bushwick,1151,Bushwick Avenue,1151 Bushwick Avenue,Brooklyn,Brooklyn,3,11221.0,40.689285,-73.917051,1007253.839,190412.4377,3077163.0,3033740001.0,304.0,34,39900,BK78,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 51,,NYCACS: Seats in Contract,,,,,Non-public,The Salvation Army,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11500,10894,0101000020E6100000AC1F9BE4477252C080F10C1AFA4B4440,10257,,NYCACS: 831101,Bethel Mission Loving Day Care,338,Beach   56 Street,338 Beach   56 Street,Arverne,Queens,4,11692.0,40.59357,-73.785638,1043783.3347,155602.9203,4436422.0,4158920001.0,414.0,31,97204,QN12,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 35,,NYCACS: Seats in Contract,,,,City Owned,Non-public,Bethel Mission Station Church,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11501,10895,0101000020E61000000C906802457852C0936FB6B931554440,4510,,NYCACS: 314502,Friends Of Crown Heights 17,921,Hegeman Avenue,921 Hegeman Avenue,Brooklyn,Brooklyn,3,11208.0,40.66558,-73.879212,1017759.6088,181788.1464,3097095.0,3043150040.0,305.0,42,112000,BK82,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 80,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Friends of Crown Heights Educational Ctrs, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11502,10896,0101000020E61000003143E389207752C0C669882AFC694440,2893,,NYCACS: 119001,Watson Avenue Ecc,1880,Watson Avenue,1880 Watson Avenue,Bronx,Bronx,2,10472.0,40.828008,-73.861361,1022618.1778,240973.1449,2023653.0,2037320039.0,209.0,18,4400,BX55,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 87,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Birch Family Services, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11503,10897,0101000020E610000090BDDEFDF17E52C0B378B13044564440,6906,,NYCACS: 318601,Strong Place For Hope DCC,333,2 Street,333 2 Street,Brooklyn,Brooklyn,3,11215.0,40.673956,-73.98352,988821.4039,184817.144,3346912.0,3009690052.0,306.0,39,13500,BK37,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 70,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Strong Place Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11504,10898,0101000020E6100000153AAFB14B7D52C078D503E6215B4440,4443,,NYCACS: 349203,Nuestros Ninos 2,243,South    2 Street,243 South    2 Street,Brooklyn,Brooklyn,3,11211.0,40.711972,-73.957745,995964.3704,198670.0676,3256381.0,3024080032.0,301.0,34,52300,BK73,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 70,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Nuestros Ninos Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11505,10899,0101000020E610000076E272BC027052C03352EFA99C5A4440,13619,,NYCACS: 822601,Charles R Drew Elc,109-45,207 Street,109-45 207 Street,Queens Village,Queens,4,11429.0,40.707906,-73.750167,1053515.6784,197284.3832,4233644.0,4109170029.0,413.0,27,51200,QN34,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 84,,NYCACS: Seats in Contract,,,,City Leased,Non-public,Queens County Educators For Tomorrow,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11506,10900,0101000020E6100000BF49D3A0687C52C02AAC545051654440,4213,,NYCACS: 703401,East Harlem Block Nursery 1,215,East  106 Street,215 East  106 Street,New York,Manhattan,1,10029.0,40.791544,-73.943886,999787.8444,227662.6401,1080690.0,1016560001.0,111.0,8,17000,MN33,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 50,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"East Harlem Block Nursery, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11507,10901,0101000020E61000008E9257E7187652C0313F373465714440,3660,,NYCACS: 107501,Susan E. Wagner DCC,1140,East  229 Street,1140 East  229 Street,Bronx,Bronx,2,10466.0,40.885901,-73.84527,1027033.9299,262073.4178,2094178.0,2049050001.0,212.0,12,45800,BX03,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 83,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Northeast Bronx Day Care Centers, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11508,10902,0101000020E61000007D259012BB7052C090847D3B89584440,11635,,NYCACS: 805901,Babove 16,189-26,Linden Boulevard,189-26 Linden Boulevard,Saint Albans,Queens,4,11412.0,40.691688,-73.761418,1050412.3754,191367.0036,4271346.0,4125990008.0,412.0,27,39400,QN08,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 68,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"B'Above Worldwide Institute, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11509,10903,0101000020E61000006C5A2904727B52C016342DB132564440,11375,,NYCACS: 326401,Friends Of Crown Heights 29,1435,Prospect Place,1435 Prospect Place,Brooklyn,Brooklyn,3,11213.0,40.673422,-73.928834,1003990.7099,184630.3502,3036100.0,3013610066.0,308.0,36,34700,BK61,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 90,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Friends of Crown Heights Educational Ctrs, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11510,10904,0101000020E610000064E94317D47F52C0A708707A175B4440,11802,,NYCACS: 704904,Hamilton Madison House #2,60,Catherine Street,60 Catherine Street,New York,Manhattan,1,10038.0,40.711654,-73.99732,984992.9846,198551.1891,1077421.0,1001110100.0,103.0,1,2500,MN27,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 57,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Hamilton-Madison House, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11511,10905,0101000020E61000002D077AA86D7D52C083DDB06D51584440,307,,NYCACS: 323501,Billy Martin Chd Dev Ctr,333,Classon Avenue,333 Classon Avenue,Brooklyn,Brooklyn,3,11205.0,40.689985,-73.959818,995393.2725,190659.1191,3321871.0,3019380001.0,303.0,35,23300,BK75,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 49,,NYCACS: Seats in Contract,,,,City Owned,Non-public,Billy Martin Child Development DCC,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11512,10906,0101000020E6100000CF108E59F67F52C076FA415DA4524440,42240,,NYCACS: 360502,Bca Bay Ridge DCC,4202,8 Avenue,4202 8 Avenue,Brooklyn,Brooklyn,3,11232.0,40.645641,-73.999411,984413.5809,174500.7749,3337411.0,3009247503.0,307.0,38,9200,BK34,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 84,,NYCACS: Seats in Contract,,,,,Non-public,Brooklyn Chinese American Association,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11513,10907,0101000020E6100000F25D4A5D327852C0A43330F2B2564440,14799,,NYCACS: 314505,Friends Of Crown Heights 18,851,Liberty Avenue,851 Liberty Avenue,Brooklyn,Brooklyn,3,11208.0,40.677336,-73.878074,1018069.3573,186071.6355,3088473.0,3039760070.0,305.0,37,119200,BK82,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 95,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Friends of Crown Heights Educational Ctrs, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11514,10908,0101000020E610000050DF32A7CB7C52C0BE4D7FF623514440,7704,,NYCACS: 319501,Charles R Drew Elc 5,2804,Glenwood Road,2804 Glenwood Road,Brooklyn,Brooklyn,3,11210.0,40.63391,-73.94993,998147.2079,170230.8112,3336755.0,3075570032.0,314.0,45,77400,BK42,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 42,,NYCACS: Seats in Contract,,,,City Owned,Non-public,Queens County Educators For Tomorrow,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11515,10910,0101000020E6100000A94C3107417F52C0DF180280635B4440,37359,,NYCACS: 1576601,Ed Alliance  E Broadway,197,East Broadway,197 East Broadway,New York,Manhattan,1,10002.0,40.713974,-73.988344,987481.4081,199396.6964,1003704.0,1002850029.0,103.0,1,600,MN28,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 33,,NYCACS: Seats in Contract,,,,,Non-public,"Educational Alliance, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11516,10911,0101000020E6100000240A2DEBFE7F52C071FF91E9D05B4440,6719,,NYCACS: 730905,Chung Pak Pre-School,125,Walker Street,125 Walker Street,New York,Manhattan,1,10013.0,40.717313,-73.999934,984268.3347,200613.025,1084583.0,1001980126.0,101.0,1,2900,MN27,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 65,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Chinese-American Planning Council, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11517,10912,0101000020E6100000AF21382EE37C52C0B153AC1A84654440,3493,,NYCACS: 1106504,Boys & Girls Harbor,1,East  104 Street,1 East  104 Street,New York,Manhattan,1,10029.0,40.793094,-73.951366,997716.5176,228226.1581,1051499.0,1016100001.0,111.0,8,16800,MN33,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 85,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Boys & Girls Harbor, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11518,10913,0101000020E610000060CC96AC8A7A52C0DACA4BFE27574440,15412,,NYCACS: 344401,Shirley Chisholm 5 - Advent,265,Sumpter Street,265 Sumpter Street,Brooklyn,Brooklyn,3,11233.0,40.680908,-73.914714,1007905.0467,187360.9653,3339185.0,3015200051.0,316.0,41,37100,BK79,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 55,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Shirley Chisholm Day Care Center, Inc",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11519,10938,0101000020E61000000954FF20927952C02906483481684440,32551,,NYCACS: 1158901,Prospect Early Childhood Ctr,730,Kelly Street,730 Kelly Street,Bronx,Bronx,2,10455.0,40.816443,-73.899544,1012055.7347,236745.1606,2094332.0,2027080025.0,202.0,8,8500,BX33,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 20,,NYCACS: Seats in Contract,,,,,Non-public,Homes for the Homeless,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11520,10914,0101000020E6100000CCB392567C7B52C016F71F990E554440,20343,,NYCACS: 345704,Friends Of Crown Heights 13,36,Ford Street,36 Ford Street,Brooklyn,Brooklyn,3,11213.0,40.664508,-73.929464,1003818.7887,181382.6007,3038317.0,3014200051.0,309.0,41,35500,BK63,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 126,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Friends of Crown Heights Educational Ctrs, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11521,10915,0101000020E61000007429AE2AFB7E52C0384D9F1D70514440,40545,,NYCACS: 344201,Gan Day Care Center Inc,4206,15 Avenue,4206 15 Avenue,Brooklyn,Brooklyn,3,11219.0,40.636234,-73.98408,988668.4099,171074.1482,3135986.0,3056000037.0,312.0,44,23200,BK88,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 85,,NYCACS: Seats in Contract,,,,,Non-public,"Gan Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11522,10916,0101000020E61000004B5645B8C97252C011001C7BF6584440,26905,,NYCACS: 805701,Afro Amer Parents Ed Ctr #4,108-17,159 Street,108-17 159 Street,Jamaica,Queens,4,11433.0,40.695022,-73.793562,1041495.5706,192559.1309,4457481.0,4101480001.0,412.0,28,25400,QN01,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 44,,NYCACS: Seats in Contract,,,,,Non-public,Afro-American Parents DCC INC,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11523,10917,0101000020E6100000232D95B7237B52C0D4BA0D6ABF554440,43490,,NYCACS: 1111001,St John's Place Fam Ctr Dc,1620,St Johns Place,1620 St Johns Place,Brooklyn,Brooklyn,3,11233.0,40.669904,-73.924055,1005317.7179,183349.8001,3037204.0,3013870024.0,308.0,41,35900,BK61,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 37,,NYCACS: Seats in Contract,,,,,Non-public,St. John's Place Family Center Day Care Corporation,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11524,10919,0101000020E6100000EF2076A6D07A52C0E08618AF79694440,4978,,NYCACS: 140601,Hac/Marshall England,800,Concourse Village East,800 Concourse Village East,Bronx,Bronx,2,10451.0,40.824026,-73.918985,1006672.2494,239502.5691,2001910.0,2024200040.0,204.0,16,17300,BX14,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 84,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Highbridge Advisory Council Family Services, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11525,10920,0101000020E6100000DE8D0585417D52C0E4DBBB067D554440,22386,,NYCACS: 349601,Friends Of Crown Heights 11,995,Carroll Street,995 Carroll Street,Brooklyn,Brooklyn,3,11225.0,40.667878,-73.957124,996144.4778,182605.1446,3033470.0,3012800054.0,309.0,35,32500,BK63,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 77,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Friends of Crown Heights Educational Ctrs, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11526,10921,0101000020E61000009C189293897852C0D636C5E3A2544440,42315,,NYCACS: 318201,Boulevard Nursery School,2150,Linden Boulevard,2150 Linden Boulevard,Brooklyn,Brooklyn,3,11207.0,40.661221,-73.883397,1016600.6557,180198.6027,3324285.0,3043550001.0,305.0,42,111000,BK82,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 40,,NYCACS: Seats in Contract,,,,,Non-public,Boulevard Nursery School Inc.,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11527,10922,0101000020E6100000E789E76C017C52C01AA3755435654440,36748,,NYCACS: 726001,Dawning  Village,2090,1 Avenue,2090 1 Avenue,New York,Manhattan,1,10029.0,40.79069,-73.937587,1001532.3261,227352.8497,1083954.0,1017010001.0,111.0,8,16200,MN33,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 50,,NYCACS: Seats in Contract,,,,,Non-public,Dawning Village Inc.,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11528,10923,0101000020E6100000766F4562827952C0723271AB206C4440,9907,,NYCACS: 1602834,La Peninsula Com Head Start,499,East  175 Street,499 East  175 Street,Bronx,Bronx,2,10457.0,40.844747,-73.898583,1012310.0074,247057.8323,2009572.0,2029170040.0,206.0,15,39500,BX01,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 68,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"La Peninsula Community Organization, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11529,10924,0101000020E610000015562AA8A87952C08A22A46E676B4440,4287,,NYCACS: 120201,Tremont Monterey Daycare II,1600,Bathgate Avenue,1600 Bathgate Avenue,Bronx,Bronx,2,10457.0,40.839094,-73.900919,1011666.0327,244997.6023,2009582.0,2029190005.0,203.0,16,16700,BX01,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 55,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Tremont Monterey Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
